timestamp,name_drone,distance,angle,radius,type_obstacle,initial_speed_x,initial_roll,initial_pitch,initial_yaw,success,energy,time,computational_time,energy_propeller,energy_joint,traj_name
1706783954.684882,fixed_wing_drone_back,50,50,2,sphere,8,0,-5,0,True,461.6752868172786,12.419740508058375,60.451295614242554,461.66617664962365,0.0091101676549631,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m14s
1706783955.248777,fixed_wing_drone_back,30,50,6,sphere,12,0,-5,0,False,,,61.02293348312378,,,
1706783955.249074,fixed_wing_drone_back,30,20,2,sphere,10,0,5,0,True,196.93887632373594,7.1671605851089355,30.737066984176636,196.93516203602388,0.0037142877120523833,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m15s
1706783955.495136,fixed_wing_drone_back,30,0,0,sphere,8,0,5,0,True,255.57003906792391,6.8789762023067205,20.765064477920532,255.5675623938502,0.002476674073695689,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m15s
1706783955.645172,fixed_wing_drone_back,50,0,0,sphere,10,0,-5,0,True,374.7436630354291,10.435918958893977,29.787535429000854,374.74034347648285,0.0033195589462822438,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m15s
1706783955.747915,fixed_wing_drone_back,30,0,8,sphere,12,0,0,0,False,,,61.52477526664734,,,
1706783955.768441,fixed_wing_drone_back,50,40,2,sphere,8,0,5,0,True,457.29836019029614,11.610233662621381,61.53544545173645,457.2920314122843,0.006328778011847095,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m15s
1706783956.394022,fixed_wing_drone_back,50,20,8,sphere,10,0,5,0,True,458.8749600756069,12.411291264873665,62.16172242164612,458.86784741939596,0.0071126562109253,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m16s
1706783957.289145,fixed_wing_drone_back,40,0,0.5,sphere,12,0,-5,0,True,232.00419587859972,8.941242831065987,32.85516953468323,231.99645610158993,0.0077397770097758604,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m17s
1706783958.973289,fixed_wing_drone_back,40,50,4,sphere,10,0,-5,0,True,312.1747656336565,10.58890585634789,64.74406385421753,312.16815348183525,0.006612151821205442,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m18s
1706783960.119078,fixed_wing_drone_back,50,10,0,sphere,8,0,0,0,True,443.2658990880654,10.597893032575133,32.79085850715637,443.2618815936857,0.004017494379690685,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m20s
1706783968.052795,fixed_wing_drone_back,40,20,0.5,sphere,8,0,5,0,True,350.43905682536666,9.051813334195582,37.3473174571991,350.43472495304525,0.004331872321416532,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m28s
1706783968.360361,fixed_wing_drone_back,50,30,2,sphere,10,0,0,0,True,384.11927743827715,11.01788806553319,74.12785649299622,384.1127474579692,0.006529980307951981,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m28s
1706783970.852696,fixed_wing_drone_back,30,30,2,sphere,10,0,-5,0,True,204.307215287451,7.511063572815418,35.39516234397888,204.30227560180842,0.004939685642568839,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m30s
1706783975.370583,fixed_wing_drone_back,50,50,6,sphere,12,0,5,0,False,,,81.13598799705505,,,
1706783976.815456,fixed_wing_drone_back,40,0,6,sphere,10,0,5,0,True,317.5381831555207,9.938525720990846,31.869215488433838,317.5325397436181,0.00564341190263737,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m36s
1706783977.00567,drone_nsga_46295d0_1,30,30,0.5,sphere,8,0,0,0,True,83.24740042049012,6.189378860451968,82.76817798614502,82.64627433655407,0.6011260839360455,result/2024-02-01_11h38m14s/drone_nsga_46295d0_1-2024-02-01_11h39m36s
1706783978.508279,fixed_wing_drone_back,30,0,0,sphere,10,0,-5,0,True,190.42961588571666,6.684997536842221,22.22529172897339,190.42733658600278,0.0022792997138637748,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m38s
1706783979.929542,fixed_wing_drone_back,30,10,2,sphere,12,0,-5,0,False,,,85.70616626739502,,,
