timestamp,chromosome,ff_0,ff_1,n.generation,success_rate,energy,time,computational_time,energy_propeller,energy_joint,traj_name,chromosome_dict
1708501083.150798,"[-0.25, 0.05, 0.03, 6, -4, 0, 0, 0.2, 3, 2, 3, 2, 11, 0, 7, 1, 0, 0, 0, 1, 6]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.1866238,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.188766,"[-0.35, 0.05, -0.03, -6, -10, -2, 0, 0.35, 5, 1, 6, 2, 2, 1, 6, 1, 0, 0, 0, 2, 4]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.1895092,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.19058,"[-0.3, 0.05, 0.02, -4, -6, -6, 0, 0.25, 4, 1, 12, 0, 7, 0, 7, 1, 0, 0, 0, 0, 1]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.1913123,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.192351,"[-0.15, 0.05, 0.03, -2, 4, 10, 0, 0.15, 5, 3, 13, 1, 11, 3, 8, 1, 0, 0, 0, 3, 4]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.1930668,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.194085,"[-0.25, 0.05, -0.03, 4, 2, -2, 0, 0.35, 3.5, 2, 0, 2, 6, 3, 1, 1, 0, 0, 0, 1, 0]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.1947825,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.195792,"[-0.25, 0.05, -0.02, 2, 0, 4, 0, 0.25, 4.5, 3, 1, 2, 11, 0, 7, 1, 0, 0, 0, 3, 4]",3000059.9932788145,3000002.8684265288,0.0,0.4,299.96639407058456,14.342132642956203,1708501083.196492,"[nan, nan, nan, 141.37007891428374, 141.50755149051767]","[nan, nan, nan, 8.351655913664892, 8.737107752118272]","['', '', '', 'result/2024-02-21_07h20m53s/[-0.25, 0.05, -0.02, 2, 0, 4, 0, 0.25, 4.5, 3, 1, 2, 11, 0, 7, 1, 0, 0, 0, 3, 4]-2024-02-21_07h24m30s', 'result/2024-02-21_07h20m53s/[-0.25, 0.05, -0.02, 2, 0, 4, 0, 0.25, 4.5, 3, 1, 2, 11, 0, 7, 1, 0, 0, 0, 3, 4]-2024-02-21_07h25m24s']",
1708501083.197509,"[-0.1, 0.05, 0.02, -6, -2, 4, 0, 0.3, 5, 3, 7, 3, 0, 0, 7, 1, 0, 0, 0, 6, 5]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.198207,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.199216,"[-0.3, 0.05, -0.01, 4, 2, -2, 0, 0.15, 2, 1, 8, 3, 9, 3, 11, 1, 0, 0, 0, 6, 0]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.1999118,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.200901,"[-0.25, 0.05, -0.03, 8, 8, 2, 0, 0.2, 3.5, 1, 13, 3, 12, 0, 7, 1, 0, 0, 0, 0, 5]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.2015984,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.202583,"[-0.3, 0.05, 0.02, 8, 4, -2, 0, 0.15, 3.5, 3, 5, 1, 1, 2, 0, 1, 0, 0, 0, 1, 2]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.2032835,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.204276,"[-0.4, 0.05, -0.02, -6, 10, -2, 0, 0.25, 4.5, 1, 14, 2, 10, 1, 8, 1, 0, 0, 0, 4, 5]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.204979,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.205982,"[-0.15, 0.05, 0.01, 6, -6, 6, 0, 0.3, 4, 3, 11, 3, 3, 0, 7, 1, 0, 0, 0, 4, 6]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.206673,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.207677,"[-0.25, 0.05, 0.02, -4, 0, 4, 0, 0.1, 3.5, 2, 7, 3, 0, 0, 7, 1, 0, 0, 0, 5, 6]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.2083786,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.209367,"[-0.4, 0.05, -0.01, 8, -2, 0, 0, 0.15, 2, 1, 4, 0, 7, 0, 7, 1, 0, 0, 0, 6, 3]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.2100506,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.211032,"[-0.35, 0.05, 0.02, 6, 0, -8, 0, 0.3, 2.5, 3, 6, 3, 10, 0, 7, 1, 0, 0, 0, 4, 3]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.211722,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.212725,"[-0.4, 0.05, 0.03, -8, 10, -6, 0, 0.4, 3.5, 2, 1, 0, 7, 0, 7, 1, 0, 0, 0, 3, 5]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.213429,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.214442,"[-0.15, 0.05, 0.03, -6, 4, 4, 0, 0.3, 3, 3, 1, 1, 0, 0, 7, 1, 0, 0, 0, 2, 3]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.2151468,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708501083.216143,"[-0.35, 0.05, -0.02, 10, 6, -4, 0, 0.3, 3.5, 3, 1, 3, 14, 1, 12, 1, 0, 0, 0, 0, 2]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708501083.2168424,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
