timestamp,name_drone,distance,angle,radius,type_obstacle,initial_speed_x,initial_roll,initial_pitch,initial_yaw,success,energy,time,computational_time,energy_propeller,energy_joint,traj_name
1690962276,fixed_wing_drone_back,30,10,0.5,sphere,10,0,-5,0,True,192.2216414,6.700327024,20.9501977,192.2171807,0.00446071,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h44m35s
1690962286,fixed_wing_drone_back,30,30,2,sphere,12,0,5,0,False,,,31.02167177,,,
1690962288,fixed_wing_drone_back,40,20,0.5,sphere,8,0,-5,0,True,353.0912983,9.160981143,33.10036111,353.0868245,0.004473764,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h44m48s
1690962289,fixed_wing_drone_back,40,20,4,sphere,12,0,5,0,False,,,34.0103507,,,
1690962295,fixed_wing_drone_back,30,0,4,sphere,10,0,0,0,True,212.6450505,7.765465674,39.98159528,212.6384981,0.006552304,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h44m55s
1690962295,fixed_wing_drone_back,40,30,0.5,sphere,12,0,0,0,True,226.9133974,9.071711935,40.06432319,226.9080329,0.005364536,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h44m55s
1690962296,fixed_wing_drone_back,40,10,4,sphere,8,0,0,0,True,362.4600713,9.008387653,40.80434537,362.4545415,0.005529761,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h44m55s
1690962300,fixed_wing_drone_back,30,10,0.5,sphere,10,0,0,0,True,190.319009,6.663844297,22.76757097,190.3150178,0.003991194,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h44m59s
1690962317,fixed_wing_drone_back,30,40,4,sphere,12,0,-5,0,False,,,61.47975039,,,
1690962317,fixed_wing_drone_back,40,20,0.5,sphere,8,0,0,0,True,350.7209708,9.139112514,28.08784938,350.7162175,0.004753348,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h45m17s
1690962320,fixed_wing_drone_back,30,10,0.5,sphere,10,0,5,0,True,190.152118,6.669670295,19.25976491,190.1488892,0.003228833,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h45m19s
1690962323,fixed_wing_drone_back,30,0,4,sphere,10,0,5,0,True,212.7484933,7.770285352,27.32909417,212.7424007,0.006092659,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h45m23s
1690962328,fixed_wing_drone_back,40,30,0.5,sphere,12,0,5,0,False,,,31.78736043,,,
1690962329,fixed_wing_drone_back,30,30,4,sphere,8,0,-5,0,True,281.589175,7.856458476,42.21774077,281.582763,0.006412011,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h45m29s
1690962332,fixed_wing_drone_back,40,10,4,sphere,8,0,5,0,True,359.1416745,8.999617546,35.37303376,359.1360614,0.005613021,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h45m32s
1690962340,fixed_wing_drone_back,30,50,6,sphere,10,0,0,0,False,,,85.14488649,,,
1690962349,fixed_wing_drone_back,40,20,0.5,sphere,8,0,5,0,True,351.4699112,9.022818387,30.99782372,351.4648382,0.005073077,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h45m49s
1690962351,fixed_wing_drone_back,40,0,2,sphere,10,0,-5,0,False,,,95.67186999,,,
1690962355,fixed_wing_drone_back,30,0,4,sphere,12,0,-5,0,True,138.8392666,7.309495093,30.67623711,138.8341381,0.005128464,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h45m54s
1690962355,fixed_wing_drone_back,40,20,6,sphere,8,0,-5,0,True,419.0374657,10.19758262,65.01326466,419.0298601,0.00760559,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h45m55s
1690962357,fixed_wing_drone_back,30,50,0.5,sphere,10,0,5,0,False,,,102.2488744,,,
1690962367,fixed_wing_drone_back,30,20,8,sphere,8,0,-5,0,False,,,112.2059321,,,
1690962369,fixed_wing_drone_back,30,10,6,sphere,8,0,5,0,False,,,113.5734329,,,
1690962370,fixed_wing_drone_back,30,10,0.5,sphere,12,0,-5,0,False,,,49.11512399,,,
1690962371,fixed_wing_drone_back,30,30,8,sphere,12,0,0,0,False,,,115.8106036,,,
1690962372,fixed_wing_drone_back,40,10,4,sphere,10,0,-5,0,True,303.9830198,9.624576013,39.00700307,303.9773916,0.00562829,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h46m12s
1690962378,fixed_wing_drone_back,30,0,4,sphere,12,0,0,0,True,141.3158691,7.309292678,22.66979814,141.3110443,0.004824741,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h46m18s
1690962378,fixed_wing_drone_back,40,0,2,sphere,10,0,0,0,True,283.5688736,8.912844429,26.84551001,283.5644972,0.004376396,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h46m18s
1690962380,fixed_wing_drone_back,30,20,2,sphere,8,0,0,0,False,,,124.8196158,,,
1690962387,fixed_wing_drone_back,40,0,8,sphere,8,0,5,0,False,,,132.1187232,,,
1690962391,fixed_wing_drone_back,30,40,4,sphere,12,0,0,0,False,,,73.70433998,,,
1690962391,fixed_wing_drone_back,40,30,2,sphere,8,0,-5,0,True,360.109077,9.47592922,62.23293805,360.1032141,0.005862955,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h46m31s
1690962402,fixed_wing_drone_back,40,20,6,sphere,8,0,0,0,True,404.2321533,10.35403809,46.40677905,404.2235275,0.008625774,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h46m42s
1690962402,fixed_wing_drone_back,40,10,4,sphere,10,0,0,0,True,303.1038613,9.543840899,29.26464295,303.0975337,0.00632762,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h46m42s
1690962405,fixed_wing_drone_back,40,0,2,sphere,10,0,5,0,True,284.268547,8.869255427,25.46569419,284.2643266,0.004220403,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h46m44s
1690962410,fixed_wing_drone_back,40,20,0.5,sphere,10,0,-5,0,True,285.9653108,8.93009045,59.50381374,285.9610017,0.004309097,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h46m49s
1690962410,fixed_wing_drone_back,30,20,2,sphere,8,0,5,0,True,262.1338495,7.195301946,29.09260154,262.1287302,0.005119293,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h46m49s
1690962425,fixed_wing_drone_back,40,30,2,sphere,8,0,0,0,True,360.7471662,9.417512679,33.32001162,360.742302,0.004864105,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h47m05s
1690962430,fixed_wing_drone_back,40,10,4,sphere,10,0,5,0,True,320.4018335,9.03687559,26.44355655,320.3962163,0.005617151,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h47m09s
1690962431,fixed_wing_drone_back,30,40,4,sphere,12,0,5,0,False,,,39.59533739,,,
1690962433,fixed_wing_drone_back,30,10,0.5,sphere,12,0,0,0,False,,,62.92145181,,,
1690962442,fixed_wing_drone_back,40,20,0.5,sphere,10,0,0,0,True,285.246971,8.872136241,30.9796834,285.2428874,0.004083694,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h47m21s
1690962446,fixed_wing_drone_back,30,0,4,sphere,12,0,5,0,False,,,67.16369176,,,
1690962446,fixed_wing_drone_back,30,30,4,sphere,8,0,0,0,False,,,116.2734134,,,
1690962451,fixed_wing_drone_back,30,50,6,sphere,10,0,5,0,False,,,109.5864258,,,
1690962451,fixed_wing_drone_back,30,20,8,sphere,8,0,0,0,False,,,83.34878063,,,
1690962457,fixed_wing_drone_back,30,20,2,sphere,10,0,-5,0,True,195.9707459,7.238543769,46.10480976,195.9661095,0.004636421,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h47m36s
1690962466,fixed_wing_drone_back,40,20,6,sphere,8,0,5,0,True,406.2160309,10.43879891,62.53384137,406.2076185,0.008412412,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h47m45s
1690962470,fixed_wing_drone_back,40,20,0.5,sphere,10,0,5,0,True,285.5010338,8.853602769,27.76553178,285.4969651,0.004068686,result/2023-08-02_09h44m14s/fixed_wing_drone_back-2023-08-02_09h47m50s
1690962473,fixed_wing_drone_back,30,50,0.5,sphere,12,0,-5,0,False,,,114.6654615,,,
