timestamp,chromosome,ff_0,ff_1,n.generation,success_rate,energy,time,computational_time,energy_propeller,energy_joint,traj_name,chromosome_dict
1708376385.06601,"[-0.25, 0.05, -0.01, 8, 8, -6, 0, 0.15, 4.5, 2, 4, 3, 8, 0, 7, 1, 0, 0, 0, 2, 6]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.0677435,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.069495,"[-0.25, 0.05, -0.01, -8, 0, -2, 0, 0.2, 5, 2, 9, 3, 10, 2, 1, 1, 0, 0, 0, 3, 1]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.0702217,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.07128,"[-0.35, 0.05, 0, 4, 8, 0, 0, 0.25, 4.5, 3, 2, 3, 3, 0, 7, 1, 0, 0, 0, 0, 2]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.071988,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.073027,"[-0.1, 0.05, 0.02, -4, 10, 6, 0, 0.2, 2, 3, 13, 3, 0, 0, 7, 1, 0, 0, 0, 4, 4]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.0738025,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.074838,"[-0.15, 0.05, 0.03, -10, -8, -8, 0, 0.25, 4.5, 2, 12, 2, 6, 3, 9, 1, 0, 0, 0, 6, 3]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.0755465,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.076552,"[-0.3, 0.05, -0.02, 2, 10, -4, 0, 0.2, 4, 1, 13, 3, 3, 2, 2, 1, 0, 0, 0, 4, 3]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.0772474,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.078255,"[-0.1, 0.05, 0.02, 2, 4, 4, 0, 0.35, 3.5, 3, 5, 1, 8, 1, 13, 1, 0, 0, 0, 4, 3]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.0789444,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.079969,"[-0.15, 0.05, -0.01, 8, 10, -4, 0, 0.1, 5, 1, 14, 0, 7, 0, 7, 1, 0, 0, 0, 3, 2]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.080673,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.081675,"[-0.25, 0.05, 0, -8, -2, 4, 0, 0.2, 2.5, 0, 7, 0, 7, 0, 7, 1, 0, 0, 0, 5, 1]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.082363,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.083389,"[-0.1, 0.05, 0.01, 2, -2, 2, 0, 0.25, 2, 1, 9, 3, 2, 1, 8, 1, 0, 0, 0, 5, 5]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.0840845,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.085088,"[-0.1, 0.05, 0.01, 2, 2, 10, 0, 0.1, 5, 2, 3, 1, 8, 1, 7, 1, 0, 0, 0, 5, 5]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.085777,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.086853,"[-0.3, 0.05, -0.02, 6, -4, -8, 0, 0.15, 3, 2, 0, 2, 7, 1, 5, 1, 0, 0, 0, 4, 4]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.0875604,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.08857,"[-0.4, 0.05, -0.03, -10, -2, 6, 0, 0.2, 3, 3, 3, 3, 0, 2, 7, 1, 0, 0, 0, 6, 0]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.0892608,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.090264,"[-0.25, 0.05, 0.01, 6, 8, -2, 0, 0.3, 2, 2, 0, 2, 4, 0, 7, 1, 0, 0, 0, 5, 0]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.090953,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.091989,"[-0.35, 0.05, -0.01, 4, -2, -8, 0, 0.35, 2, 1, 9, 0, 7, 0, 7, 1, 0, 0, 0, 4, 0]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.092687,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.093691,"[-0.4, 0.05, 0.01, 2, 10, 2, 0, 0.25, 5, 1, 3, 2, 6, 0, 7, 1, 0, 0, 0, 3, 0]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.094381,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.095383,"[-0.2, 0.05, 0.01, -10, -4, -10, 0, 0.15, 3.5, 3, 6, 2, 7, 0, 7, 1, 0, 0, 0, 3, 5]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.096071,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
1708376385.09707,"[-0.35, 0.05, 0.02, 4, -8, -2, 0, 0.35, 4.5, 1, 4, 0, 7, 0, 7, 1, 0, 0, 0, 1, 4]",5000000.0,5000000.0,0.0,0.0,0.0,0.0,1708376385.0977678,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['', '', '', '', '']",
